ds,yhat,yhat_lower,yhat_upper
2018-10-23,507.20023976958163,435.44203784510927,588.0037142100533
2018-10-24,506.8174178561816,428.58886726510394,581.5491906210518
2018-10-25,507.3068513604837,430.18943952914884,584.2495147554206
2018-10-26,506.77567567545236,429.55942850267206,587.9763486266007
2018-10-29,506.41867494241814,425.3199414135228,580.1398478784879
2018-10-30,506.7887222919825,425.28012259559557,592.0816771284137
2018-10-31,505.9089036914124,428.2090506457998,586.3128548633475
2018-11-01,505.89792386525596,430.6151911949776,586.4482056674289
2018-11-02,504.8780641436563,425.6692053121294,580.3466469645514
2018-11-05,503.27659874203056,429.71830582373366,583.1568708961984
2018-11-06,503.3529308994174,423.1054530409245,580.1603415101346
2018-11-07,502.2604957879253,425.8883362131135,579.7710287608944
2018-11-09,501.0840799639188,428.04184233879613,584.3807069713574
2018-11-12,500.03536679558863,415.9017945878318,580.2405541028635
2018-11-13,500.50152610234755,424.8087753525972,585.793961116523
2018-11-14,499.89331986918967,420.3461679445821,577.7146446909271
2018-11-15,500.32988463933265,422.0467363791237,580.128216211013
2018-11-16,499.92911607419904,419.3187637047008,576.9061848004469
2018-11-19,501.0990803705881,422.66303085071974,573.312659835227
2018-11-20,502.343396211564,424.9522900147788,579.4117616598377
2018-11-21,502.50106681765897,426.7615634459655,577.9792545438003
2018-11-22,503.6718206368012,423.074996520085,581.3765094809183
2018-11-26,506.6983087630006,423.70895798058166,586.2585144480387
2018-11-27,508.2598088241316,431.3122871048152,589.2683011321814
2018-11-28,508.61274305610095,425.0473489946859,583.9074438272836
2018-11-29,509.85025099243524,436.3845171029265,585.3278283136673
2018-11-30,510.0678944628101,434.78842059784824,584.0162946129849
2018-12-03,511.842609230174,439.0637033507571,585.8412171122467
2018-12-04,512.8458699092145,439.04847903852107,594.6102216167767
2018-12-05,512.5422487298621,433.28378436743037,590.1221675890833
2018-12-06,513.0407104753689,438.92155849415855,589.860807899531
2018-12-07,512.4549686082562,437.09201812695204,591.9772611837426
2018-12-10,511.6400294102405,433.7048371496936,593.4910792892761
2018-12-11,511.7936933541871,440.7733035735796,592.9257131950076
2018-12-12,510.68431625655325,433.65746760684647,585.5978141204167
2018-12-13,510.44203659517945,433.7029810668989,584.5265143014881
2018-12-14,509.20024833971536,435.8050867201185,587.3642844653912
2018-12-17,507.0890287558434,432.5122926946213,583.3308953566591
2018-12-18,507.07503960280303,425.57437257265616,585.0330598921898
2018-12-19,505.9422570230852,423.61563896175596,582.1118308382081
2018-12-20,505.8226371683361,432.2689150831842,586.9768707713744
2018-12-21,504.8476545920952,427.6903169529066,582.6130565411266
2018-12-24,504.3278432500043,428.6000571101247,582.8226570246596
2018-12-26,504.76932024133004,430.52896054989117,588.2940436987275
2018-12-27,505.54792790797774,430.0271967345155,588.181948460127
2018-12-28,505.5117621222191,438.36493183877946,584.3268274973128
2018-12-31,507.81930964329484,429.8558483535008,594.6542096493886
2019-01-01,509.4265993731389,427.173996622735,587.067783875457
2019-01-02,509.9246304720459,433.85483466164266,584.3758522641374
2019-01-03,511.405515841729,436.25371766402253,590.1298588947111
2019-01-04,511.9617358171077,436.3529179283002,587.7574440653049
2019-01-07,515.2616291613001,437.33423222104244,587.027399419808
2019-01-08,516.9133263146027,443.05527464514773,596.6397266128846
2019-01-09,517.3093614358851,441.0522714115638,593.4454259779851
2019-01-10,518.545576869609,436.3086007744013,596.2671218365356
2019-01-11,518.7217285749094,442.8073587335745,596.0991497583433
2019-01-14,520.19174595249,445.2836704428625,597.1742035345624
2019-01-15,521.0585515438322,441.41073158579565,599.6814951470284
2019-01-16,520.6151661422531,442.76820572797504,597.3683594297561
2019-01-17,520.9793711021147,441.49437927899004,604.7798926730645
2019-01-18,520.2735082969261,443.0533762003995,595.9817534631893
2019-01-21,519.2604758528166,439.3417354970119,598.9551839584585
2019-01-22,519.4232471668192,440.8449198293611,596.5630924208962
2019-01-23,518.367909957704,444.7359408687584,590.2555396141738
2019-01-24,518.2267658378764,431.6141183944394,597.4335622591042
2019-01-25,517.1337149248718,437.0252583596415,591.6481831612193
2019-01-28,515.7340052714727,437.1889464329518,600.727221207484
2019-01-29,516.0307098974134,432.627929376253,593.3463385027069
2019-01-30,515.2342589639717,431.85965065401916,589.6072142528344
2019-01-31,515.468103927843,437.17446437308905,594.1421594865096
2019-02-01,514.8543179624903,440.6753060224804,590.9340388292471
2019-02-04,515.3629183094143,434.1355745329966,591.4022095240194
2019-02-05,516.3917173686821,437.469181591303,587.850031646495
2019-02-06,516.3421473084077,437.9238071580586,589.5986796714577
2019-02-07,517.3172022262502,439.19053826221716,596.9627662419479
2019-02-08,517.4189138363787,443.24061617680115,596.5565410418405
2019-02-11,519.7364945520306,445.56227220968117,601.553461799779
2019-02-12,521.2037042665472,439.922546456537,601.2544509789128
2019-02-14,522.6907227140248,446.9820615569327,601.2966361791866
2019-02-15,522.9027443380628,441.71543642072936,599.9367761962626
2019-02-18,524.8578610578335,441.5078653483245,597.9317857464389
2019-02-19,525.9877780583523,445.59105250357294,601.1567712860625
2019-02-20,525.8430168640774,450.80599330742047,604.4462412822504
2019-02-21,526.530936371257,447.25799880868703,604.6314500726636
2019-02-22,526.1629426092538,445.37857139865224,606.7512512204205
2019-02-25,526.1370738196417,451.0375320367907,607.1181995972694
2019-02-26,526.5841807030943,444.80902056691286,603.8472591685486
2019-02-27,525.7743812986588,447.52627484146495,604.3478217981857
2019-02-28,525.8315202644822,445.459111507568,605.5791817208047
2019-03-01,524.8822673295643,447.15211132850936,600.8043570631453
2019-03-05,523.7164224462394,445.9545428729905,607.2911180989346
2019-03-06,522.7357062532697,447.35146919783784,600.056509997599
2019-03-07,522.7201886720517,450.4446434258858,610.8936333350168
2019-03-08,521.7960416199268,443.3768568231789,600.5137269337292
2019-03-11,521.0713736724655,446.3107030421423,600.7267828879466
2019-03-12,521.6162730339629,446.62225908660594,594.5492055673608
2019-03-13,521.0630818209636,438.5937527818068,597.303670202705
2019-03-14,521.5260213129773,444.49621238051435,599.9121879222239
2019-03-15,521.1188557801659,436.48289051600415,596.9571215131805
2019-03-18,522.0493068661492,445.73095404116776,604.2747423289549
2019-03-19,523.1399751542738,446.45882954730325,603.3047901397467
2019-03-20,523.1112912896434,443.9351098417441,597.5962915059498
2019-03-22,524.1173424603003,447.65504455231024,600.563611798973
2019-03-25,526.1392301197282,445.5801692121396,598.9526176197979
2019-03-26,527.4941383324235,450.51212536787426,605.64818439579
2019-03-27,527.6808174062716,453.43902185710436,606.9783944273174
2019-03-28,528.8074025437463,452.68478702854185,610.4574236511507
2019-04-01,531.2034059312356,453.77271560031744,610.0207166176228
2019-04-02,532.5850805578361,457.01940086552315,613.4792124191868
2019-04-03,532.7914912940691,458.16511137341047,609.5702513496732
2019-04-04,533.937925334349,455.8733661081754,611.6469176412487
2019-04-05,534.1415800169102,456.89674773246054,616.630624681414
2019-04-08,536.530722079668,462.3611526617868,614.7090360667866
2019-04-09,538.0101041634982,463.17712562081573,618.2652477726191
2019-04-10,538.3364268486307,457.9720815864013,611.7670862719208
2019-04-11,539.6237128705418,455.94724570072475,615.7562892106477
2019-04-12,539.986374432132,461.59752852120687,620.8382335465249
2019-04-15,542.9130083085898,461.1112074514848,619.6930851233959
2019-04-16,544.5699041000837,471.2358504092008,619.1290645540965
2019-04-18,546.4889341814422,468.08501424692327,624.1623636740525
2019-04-22,549.9633482686745,471.4435269689733,624.349350771523
2019-04-23,551.5372680303451,479.2037205269718,631.7126147276649
2019-04-24,551.8832127095556,474.0713989480015,634.1508438809411
2019-04-25,553.1048089833976,476.2846849439907,634.6270440473909
2019-04-26,553.307919665271,473.4314423869807,636.4219289159294
2019-04-30,556.2297386703701,475.3984124618355,632.7124970928793
2019-05-02,556.7262380969994,479.14773704375796,639.3972448800156
2019-05-03,556.368309592096,476.86408804278443,637.5979029814027
2019-05-06,556.5732368207885,485.4965913179291,632.1181967383998
2019-05-07,557.1789879758209,477.06742368441576,637.4160828629653
2019-05-08,556.5744675051358,477.41175789169887,628.6137169876343
2019-05-09,556.8860075880316,482.9016374136494,631.6854185793826
2019-05-10,556.2421242529246,481.70760882890954,630.3576035275472
2019-05-13,556.1272786174546,478.1035429194044,636.4506609406113
2019-05-14,556.8224896039451,481.07866519469883,634.6782444265942
2019-05-15,556.4079162808755,482.26194271903773,628.7898519065839
2019-05-16,557.0076277977628,475.5643352090174,641.0860453622693
2019-05-17,556.7453706052651,475.5267288702329,642.5955380702621
2019-05-20,558.2530925632399,482.933188442378,640.0588732935545
2019-05-21,559.6103036997341,479.97903149640035,632.3786145816103
2019-05-22,559.8950265635157,481.6319405222015,638.7825709814074
2019-05-23,561.2155492434784,480.7825130405592,641.2907968490808
2019-05-24,561.6791831668012,490.18340989175636,641.1454413303784
2019-05-27,565.2300128483836,480.78236996518086,645.933729991469
2019-05-28,567.1712246643643,485.82407978962004,645.0862182085845
